Spell Name,Level,School,Ritual,Casting Time,Range,Target/Area,V,S,M,Component(s),Cost,Concentration,Duration,Attack/Saving Throw (Effect),Damage Type,Damage/Heal,Sourcebook,Page #,Additional Detail,Per Higher Spell Level,Bard,Cleric,Druid,Paladin,Ranger,Sorceror,Warlock,Wizard
Acid Splash,0,Conjuration,,1 action,60 ft.,1 or 2 adjacent targets,V,S,,,,,Instantaneous,DEX (Fail),Acid,DAM: 1d6,PHB,211,"DAM: Add extra 1d6 at 5th level, 11th level, and 17th level.",,,,,,,Sorceror,,Wizard
Aid,2,Abjuration,,1 action,30 ft.,3 allies,V,S,M,white cloth strip,,,8 hours,,,HEAL: 5,PHB,211,Each target also increases maximum HP by 5.,HEAL extra 5 HP,,Cleric,,Paladin,,,,
Alarm,1,Abjuration,Ritual,1 minute,30 ft.,1 door/window/area,V,S,M,"tiny bell, silver wire",,,8 hours,,,,PHB,211,Audible or silent alarm triggered on entry by those you haven't said can enter,,,,,,Ranger,,,Wizard
Alter Self,2,Transmutation,,1 action,Self,Self,V,S,,,,Concentration,1 hour,,,,PHB,211,"Choose one: breathe/swim underwater, natural weapons, change appearance",,,,,,,Sorceror,,Wizard
Animal Friendship,1,Enchantment,,1 action,30 ft.,1 beast,V,S,M,morsel of food,,,24 hours,WIS (Fail),,,PHB,212,Charm beasts with INT <= 3; spell fails if you hurt beast,One more beast,Bard,Cleric(Nature),Druid,,Ranger,,,
Animal Messenger,2,Enchantment,Ritual,1 action,30 ft.,1 Tiny beast,V,S,M,morsel of food,,,24 hours,,,,PHB,212,Beast will relay 25 word message to a target you describe,48 hours longer,Bard,,Druid,,Ranger,,,
Animal Shapes,8,Transmutation,,1 action,30 ft.,Any willing targets,V,S,,,,Concentration,24 hours,,,,PHB,212,Transform targets into Large or smaller beasts with CR <= 4,,,,Druid,,,,,
Animate Dead,3,Necromancy,,1 minute,10 ft.,<= Medium corpse,V,S,M,"blood, flesh, bone",,,Instantaneous,,,,PHB,212,Creates skeleton or zombie servant that accepts simple directions,Two more undead,,Cleric,,Paladin(Oathbreaker),,,,Wizard
Animate Objects,5,Transmutation,,1 action,120 ft.,<= 10 objects,V,S,,,,Concentration,1 minute,,,,PHB,213,Animate objects to accept simple commands.,Two more objects,Bard,,,,,Sorceror,,Wizard
Antilife Shell,5,Abjuration,,1 action,10 ft. radius,Self,V,S,,,,Concentration,1 hour,,,,PHB,213,Erects barrier around you that moves with you.  Living creatures cannot enter.,,,Cleric(Death),Druid,,,,,
Antimagic Field,8,Abjuration,,1 action,10 ft. radius,Self,V,S,M,powdered iron or filings,,Concentration,1 hour,,,,PHB,213,Erects a sphere around you in which all magic no longer works.,,,Cleric,,,,,,Wizard
Antipathy/Sympathy,8,Enchantment,,1 hour,60 ft.,1 Huge or smaller target,V,S,M,lump of alum or honey,,,10 days,WIS (Fail),,,PHB,214,Target object/creature attracts or repels specifc creature types.,,,,Druid,,,,,Wizard
Arcane Eye,4,Divination,,1 action,30 ft.,,V,S,M,a bit of bat fur,,Concentration,1 hour,,,,PHB,214,Create invisible eye with darkvision(30ft) moves 30ft/rd you can see through.,,,Cleric(Knowledge),,,,,,Wizard
Arcane Gate,6,Conjuration,,1 action,500 ft.,"Point(10ft),Point(500ft.)",V,S,,,,Concentration,10 minutes,,,,PHB,214,Create two linked portals 10ft. across anybody can travel between.,,,,,,,Sorceror,Warlock,Wizard
Arcane Lock,2,Abjuration,,1 action,Touch,1 openable object,V,S,M,GOLD DUST,25 gp,,Until Dispelled,,,,PHB,215,Locks object until password is spoken or dispel/knock. Object break DC +10.,,,,,,,,,Wizard
Armor of Agathys,1,Abjuration,,1 action,Self,Self,V,S,M,cup of water,,,1 hour,,Cold,DAM: 5,PHB,215,Gain 5 THP. Melee attackers take 5 DAM.,5 temp HP and 5 DAM,,,,,,,Warlock,
Arms of Hadar,1,Conjuration,,1 action,Self,10 ft. radius,V,S,,,,,Instantaneous,"STR (Half DAM, no effect)",Necrotic,DAM: 2d6,PHB,215,Targets can't take reactions until next turn,Extra 1d6 DAM,,,,,,,Warlock,
Astral Projection,9,Necromancy,,1 hour,10 ft.,Self and 8 willing targets,V,S,M,"JACINTH(1k), SILVER(100)",1100 gp,,Special,,,,PHB,215,Project to Astral Plane.  See Sourcebook.,,,Cleric,,,,,Warlock,Wizard
Augury,2,Divination,Ritual,1 minute,Self,Self,V,S,M,special tokens,25 gp,,Instantaneous,,,,PHB,215,See omen predicting results of action taken within 30 minutes.,,,Cleric,,,,,,
Aura of Life,4,Abjuration,,1 action,Self,30 ft. radius,V,,,,,Concentration,10 minutes,,,,PHB,216,"Gain necrotic resistance, HEAL 1 HP if at 0 HP, HP max can't go down.",,,,,Paladin,,,,
Aura of Purity,4,Abjuration,,1 action,Self,30 ft. radius,V,,,,,Concentration,10 minutes,,,,PHB,216,"Gain poison resist, disease immune, advantage on status saving throws.",,,,,Paladin,,,,
Aura of Vitality,3,Evocation,,1 action,Self,30 ft. radius,V,,,,,Concentration,1 minute,,,HEAL: 2d6,PHB,216,Use bonus action to HEAL 1 target in aura.,,,,,Paladin,,,,
Awaken,5,Transmutation,,8 hours,Touch,1 beast/plant <= Huge,V,S,M,AGATE,1000 gp,,Instantaneous,,,,PHB,216,Target with INT <= 3 gaints INT 10 and can speak. Charmed for 30 days.,,Bard,,Druid,,,,,
Bane,1,Enchantment,,1 action,30 ft.,<= 3 creatures,V,S,M,drop of blood,,Concentration,1 minute,CHA (Fail),,,PHB,216,Targets' attack rolls and saving throws are deducted 1d4.,One more creature,Bard,Cleric,,Paladin(Vengeance),,,,
Banishing Smite,5,Abjuration,,1 bonus action,Self,Self,V,,,,,Concentration,1 minute,Weapon Attack,Force,DAM: 5d10,PHB,216,Target banished if <= 50 HP.,,,,,Paladin,,,,
Banishment,4,Abjuration,,1 action,60 ft.,1 target,V,S,M,item disliked by target,,Concentration,1 minute,CHA (Fail),,,PHB,217,Banish target to another plane; native of other plane doesn't return after 1 min.,One more creature,,Cleric,,Paladin,,Sorceror,Warlock,Wizard
Barkskin,2,Transmutation,,1 action,Touch,1 willing creature,V,S,M,oak bark,,Concentration,1 hour,,,,PHB,217,Target AC is never less than 16 during spell.,,,Cleric(Nature),Druid,,Ranger,,,
Beacon of Hope,3,Abjuration,,1 action,30 ft.,Any targets in range,V,S,,,,Concentration,1 hour,,,,PHB,217,Targets get advantage on WIS and death saving throws; heal spells heal max.,,,Cleric,,Paladin(Devotion),,,,
Beast Sense,2,Divination,Ritual,1 action,Touch,1 willing beast,,S,,,,Concentration,1 hour,,,,PHB,217,Use action to see/hear whatever beast does.  Use action to return.,,,,Druid,,Ranger,,,
Bestow Curse,3,Necromancy,,1 action,Touch,1 creature,V,S,,,,Concentration,1 minute,WIS (Fail),,,PHB,218,Curse target.  See Sourcebook.,See Sourcebook.,Bard,Cleric,,Paladin(Oathbreaker),,,,Wizard
Bigby's Hand,5,Evocation,,1 action,120 ft.,,V,S,M,"eggshell, snakeskin glove",,Concentration,1 minute,,Force,See Sourcebook.,PHB,218,Create giant hand to do various things.  See Sourcebook.,See Sourcebook.,,,,,,,,Wizard
Blade Barrier,6,Evocation,,1 action,90 ft.,5x20x(100 line/60 dia. circle)ft.,V,S,,,,Concentration,10 minutes,DEX (Half DAM),Slashing,DAM: 6d10,PHB,218,Creatures entering wall/circle area take DAM.,,,Cleric,,,,,,
Blade Ward,0,Abjuration,,1 action,Self,Self,V,S,,,,,1 round,,,,PHB,218,Gain resistance to bludgeoning/piercing/slashing DMG from weapons.,,Bard,,,,,Sorceror,Warlock,Wizard
Bless,1,Enchantment,,1 action,30 ft.,<= 3 creatures,V,S,M,sprinkling of holy water,,Concentration,1 minute,,,,PHB,219,Targets add 1d4 to attack rolls and saving throws.,One more creature.,,Cleric,,Paladin,,,,
Blight,4,Necromancy,,1 action,30 ft.,1 creature,V,S,,,,,Instantaneous,CON (Half DAM),Necrotic,DAM: 8d8,PHB,219,Plants have disadvantage on save and take max DAM.,Extra 1d8 DAM.,,Cleric(Death),Druid,Paladin(Oathbreaker),,Sorceror,Warlock,Wizard
Blinding Smite,3,Evocation,,1 bonus action,Self,Self,V,,,,,Concentration,1 minute,CON per turn (Blindness ends),Radiant,DAM: 3d8,PHB,219,Next melee attack target takes DAM and is blinded until spell ends.,,,,,Paladin,,,,
Blindness/Deafness,2,Necromancy,,1 action,30 ft.,1 creature,V,,,,,,1 minute,CON per turn (Fail),,,PHB,219,Target becomes blind or deaf (your choice).,One more creature.,Bard,Cleric,,,,Sorceror,,Wizard
Blink,3,Transmutation,,1 action,Self,Self,V,S,,,,,1 minute,,,,PHB,219,Roll 11 or higher to go to Ethereal plane between turns; reapper within 10ft.,,,Cleric(Trickery),,,,Sorceror,,Wizard
Blur,2,Illusion,,1 action,Self,Self,V,,,,,Concentration,1 minute,,,,PHB,219,Creatures relying on sight have disadvantage to attack.,,,,Druid(Desert),,,Sorceror,,Wizard
Branding Smite,2,Evocation,,1 bonus action,Self,Self,V,,,,,Concentration,1 minute,Weapon Attack,Radiant,DAM: 2d6,PHB,219,"Target becomes visible, sheds dim light.",Extra 1d6 DAM.,,,,Paladin,,,,
Burning Hands,1,Evocation,,1 action,Self,15 ft. cone,V,S,,,,,Instantaneous,DEX (Half DAM),Fire,DAM: 3d6,PHB,220,Flammable objects ignite.,Extra 1d6 DAM.,,Cleric(Light),,,,Sorceror,,Wizard
Call Lightning,3,Conjuration,,1 action,120 ft.,60 ft. radius cylinder,V,S,,,,Concentration,10 minutes,DEX (Half DAM),Lightning,DAM: 3d10,PHB,220,Targets take DAM each round.  Can change targets each round.,Extra 1d10 DAM.,,Cleric(Tempest),Druid,,,,,
Calm Emotions,2,Enchantment,,1 action,60 ft.,20 ft. radius sphere,V,S,,,,Concentration,1 minute,CHA (Fail),,,PHB,221,Suppress charm effects or hostility on target.,,Bard,Cleric,,,,,,
Chain Lightning,6,Evocation,,1 action,150 ft.,"1 target, then 3 within 30ft.",V,S,M,"bit of fur,glass,3 silver pins",,,Instantaneous,DEX (Half DAM),Lightning,DAM: 10d8,PHB,221,Bolt hits one target then forks to up to 3 others.,One more bolt in fork.,,,,,,Sorceror,,Wizard
Charm Person,1,Enchantment,,1 action,30 ft.,1 humanoid,V,S,,,,,1 hour,Wisdom (Fail),,,PHB,221,Charm target so it treats you as friendly. Gets advantage to save if fighting you.,One more target <= 30ft.,Bard,Cleric(Trickery),Druid,,,Sorceror,Warlock,Wizard
Chill Touch,0,Necromancy,,1 action,120 ft.,1 creature,V,S,,,,,1 round,Ranged Spell Attack,Necrotic,DAM: 1d6,PHB,221,"Extra 1d6 DAM at 5th level, 11th level, and 17th level. Can't regain HP.",,,Cleric(Death),,,,Sorceror,Warlock,Wizard
Chromatic Orb,1,Evocation,,1 action,90 ft.,1 creature,V,S,M,diamond,50 gp,,Instantaneous,Ranged Spell Attack,See Details,DAM: 3d8,PHB,221,"Choose type: acid, cold, fire, lightning, poison, or thunder.",Extra 1d8 DAM.,,,,,,Sorceror,,Wizard
Circle of Death,6,Necromancy,,1 action,150 ft.,60 ft. radius sphere,V,S,M,crushed black pearl,500 gp,,Instantaneous,CON (Half DAM),Necrotic,DAM: 8d6,PHB,221,,Extra 2d6 DAM.,,,,,,Sorceror,Warlock,Wizard
Circle of Power,5,Abjuration,,1 action,Self,30 ft. radius sphere,V,,,,,Concentration,10 minutes,,,,PHB,221,Friendlies: advantage on saving throws against magic/effects. No half DAM. ,,,,,Paladin,,,,
Clairvoyance,3,Divination,,10 minutes,1 mile,,V,S,M,jeweled horn or glass eye,100 gp,Concentration,10 minutes,,,,PHB,222,Create sensor in area you can see or hear through.,,Bard,Cleric,,,,Sorceror,,Wizard
Clone,8,Necromancy,,1 hour,Touch,,V,S,M,See Sourcebook.,3000 gp,,Instantaneous,,,,PHB,222,Create clone of living person; soul transfers to clone if original dies.,,,,,,,,,Wizard
Cloud of Daggers,2,Conjuration,,1 action,60 ft.,5 ft. cube,V,S,M,sliver of glass,,Concentration,1 minute,,Slashing,DAM: 4d4,PHB,222,DAM taken on entering or starting turn in area.,Extra 2d4 DAM.,Bard,,,,,Sorceror,Warlock,Wizard
Cloudkill,5,Conjuration,,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,10 minutes,CON (Half DAM),Poison,DAM: 5d8,PHB,222,DAM taken on entering or starting turn in area. Fog moves away 10 ft. per turn.,Extra 1d8 DAM.,,Cleric(Death),Druid(Underdark),,,Sorceror,,Wizard
Color Spray,1,Illusion,,1 action,Self,15 ft. cone,V,S,M,pinch of colored powder,,,1 round,,,,PHB,222,"Blinds 6d10 HP worth of creatures, starting with lowest HP.",Extra 2d10 HP.,,,,,,Sorceror,,Wizard
Command,1,Enchantment,,1 action,60 ft.,1 creature,V,,,,,,1 round,WIS (Fail),,,PHB,223,Speak 1 word command to target. Can't cause harm. Doesn't affect undead.,One more creature.,,Cleric,,Paladin,,,,
Commune,5,Divination,Ritual,1 minute,Self,,V,S,M,"incense, vial of holy water",,,1 minute,,,,PHB,223,Ask 3 yes/no questions that are answered by deity.  See Sourcebook.,,,Cleric,,Paladin(Devotion),,,,
Commune with Nature,5,Divination,Ritual,1 minute,Self,,V,S,,,,,Instantaneous,,,,PHB,224,Gain knowledge of the land around you.  See Sourcebook.,,,,Druid,Paladin(Ancients),Ranger,,,
Compelled Duel,1,Enchantment,,1 bonus action,30 ft.,1 creature,V,,,,,Concentration,1 minute,WIS (Fail),,,PHB,224,Compel target to attack you one-on-one.  See Sourcebook. ,,,,,Paladin,,,,
Comprehend Languages,1,Divination,Ritual,1 action,Self,,V,S,M,pinch of soot and salt,,,1 hour,,,,PHB,224,Know literal meaning of any speech. Understand written words while touching.,,Bard,,,,,Sorceror,Warlock,Wizard
Compulsion,4,Enchantment,,1 action,30 ft.,Creatures in range,V,S,,,,Concentration,1 minute,WIS (Fail),,,PHB,224,Compel targets to move in specified non-hazardous direction.,,Bard,,,,,,,
Cone of Cold,5,Evocation,,1 action,Self,60 ft. cone,V,S,M,crystal or glass cone,,,Instantaneous,CON (Half DAM),Cold,DAM: 8d8,PHB,224,Creatures killed become frozen statues.,Extra 1d8 DAM.,,,Druid(Arctic),,,Sorceror,,Wizard
Confusion,4,Enchantment,,1 action,90 ft.,10 ft. radius sphere,V,S,M,3 nut shells,,Concentration,1 minute,WIS (Fail),,,PHB,224,Targets can't take reactions and do random actions.  See Sourcebook.,Increase radius by 5ft.,Bard,Cleric(Knowledge),Druid,Paladin(Oathbreaker),,Sorceror,,Wizard
Conjure Animals,3,Conjuration,,1 action,60 ft.,,V,S,,,,Concentration,1 hour,,,,PHB,225,Summon fey spirits as creatures (total CR <= 2) that act as a group.,,,,Druid,,Ranger,,,
Conjure Barrage,3,Conjuration,,1 action,Self,60 ft. cone,V,S,M,ammo or thrown weapon,,,Instantaneous,DEX (Half DAM),See Details,DAM: 3d8,PHB,225,Damage type is same as ammo/weapon used as component.,,,,,,Ranger,,,
Conjure Celestial,7,Conjuration,,1 minute,90 ft.,,V,S,,,,Concentration,1 hour,,,,PHB,225,Summon celestial CR <= 4.  Obeys commands that don't violate alignment.,9th level: CR <= 5,,Cleric,,,,,,
Conjure Elemental,5,Conjuration,,1 minute,90 ft.,,V,S,M,See Sourcebook,,Concentration,1 hour,,,,PHB,225,Summon elemental CR <= 5.  Obeys commands. Hostile if control is lost.,Increase max CR by 1.,,,Druid,,,,,Wizard
Conjure Fey,6,Conjuration,,1 minute,90 ft.,,V,S,,,,Concentration,1 hour,,,,PHB,226,Summon fey CR <= 6. Obeys commands. Hostile if control is lost.,Increase max CR by 1.,,,Druid,,,,Warlock,
Conjure Minor Elementals,4,Conjuration,,1 minute,90 ft.,,V,S,,,,Concentration,1 hour,,,,PHB,226,Summon elementals (total CR <= 2) that obey commands.,6th: CR <= 4; 8th: CR <= 6,,,Druid,,,,,Wizard
Conjure Volley,5,Conjuration,,1 action,150 ft.,"40 ft. radius, 20 ft. high cylinder",V,S,M,ammo or thrown weapon,,,Instantaneous,DEX (Half DAM),See Details,DAM: 8d8,PHB,226,Damage type is same as ammo/weapon used as component.,,,,,,Ranger,,,
Conjure Woodland Beings,4,Conjuration,,1 action,60 ft.,,V,S,M,1 holly berry per creature,,Concentration,1 hour,,,,PHB,226,Summon fey creatures (CR <= 2) that obey commands.,6th: CR <= 4; 8th: CR <= 6,,,Druid,,Ranger,,,
Contact Other Plane,5,Divination,Ritual,1 minute,Self,,V,,,,,,1 minute,"INT DC:15(DAM, insane for day)",Psychic,DAM: 6d6,PHB,226,Contact extraplanar being. YOU make save. 1-word answers to 5 questions.,,,,,,,,Warlock,Wizard
Contagion,5,Necromancy,,1 action,Touch,1 creature,V,S,,,,,7 days,CON (See Sourcebook),,,PHB,227,Give creature a disease.  See Sourcebook.,,,Cleric,Druid,Paladin(Oathbreaker),,,,
Contingency,6,Evocation,,10 minutes,Self,Self,V,S,M,ivory statue of self,1500 gp,,10 days,,,,PHB,227,Spell <= 5th level activates when condition occurs. That spell's slot used too.,,,,,,,,,Wizard
Continual Flame,2,Evocation,,1 action,Touch,1 object,V,S,M,RUBY DUST,50 gp,,Until Dispelled,,,,PHB,227,Heatless flame comes from object. Can be covered but not snuffed out.,,,Cleric,,,,,,Wizard
Control Water,4,Transmutation,,1 action,300 ft.,100 ft. cube,V,S,M,"water drop, pinch of dust",,Concentration,10 minutes,,,,PHB,227,Control water.  See Sourcebook.,,,Cleric,Druid,,,,,Wizard
Control Weather,8,Transmutation,,10 minutes,Self,5 mile radius,V,S,M,"incense, earth&wood in water",,Concentration,8 hours,,,,PHB,228,Control the weather.  See Sourcebook.,,,Cleric,Druid,,,,,Wizard
Cordon of Arrows,2,Transmutation,,1 action,5 ft.,Spell components,V,S,M,4 pieces of ammo,,,8 hours,DEX (Fail),Piercing,DAM: 1d6,PHB,228,Ammo fired at creatures within 30 ft. Spell ends when ammo gone.,Two extra ammo.,,,,,Ranger,,,
Counterspell,3,Abjuration,,1 reaction (spell cast),60 ft.,1 Spellcaster,,S,,,,,Instantaneous,See Details.,,,PHB,228,Interrupt spell <= 4th. You make casting ability check (DC 10 + spell level).,Interrupt spell <= new level.,,,,,,Sorceror,Warlock,Wizard
Create Food and Water,3,Conjuration,,1 action,30 ft.,,V,S,,,,,Instantaneous,,,,PHB,229,"Create 45 lbs. of bland, nourishing food for 24 hours and 30 gallons of water.",,,Cleric,Druid(Desert),Paladin,,,,
Create or Destroy Water,1,Transmutation,,1 action,30 ft.,10 gal. water/30 ft. cube of fog,V,S,M,drop of water/sand,,,Instantaneous,,,,PHB,229,Create/destroy 10 gal. of water or 30 ft. cube of rain/fog.,,,Cleric,Druid,,,,,
Create Undead,6,Necromancy,,1 minute,10 ft.,,V,S,M,See Sourcebook.,Source,,Instantaneous,,,,PHB,229,Create undead to serve you for 24 hours.  See Sourcebook.,See Sourcebook.,,Cleric,,,,,Warlock,Wizard
Creation,5,Illusion,,1 minute,30 ft.,,V,S,M,bit of matter you want to make,,,See Sourcebook.,,,,PHB,229,Make nonliving object no larger than 5 ft. cube.  See Sourcebook.,Cube size increases by 5 ft.,,,,,,Sorceror,,Wizard
Crown of Madness,2,Enchantment,,1 action,120 ft.,1 humanoid,V,S,,,,Concentration,1 minute,WIS every turn (Fail),,,PHB,229,Charm humanoid to attack your target of choice.  Use action to keep control.,,Bard,,,Paladin(Oathbreaker),,Sorceror,Warlock,Wizard
Crusader's Mantle,3,Evocation,,1 action,Self,30 ft. radius,V,,,,,Concentration,1 minute,,,,PHB,230,Nonhostiles in aura deal an extra 1d4 radiant DAM.,,,Cleric(War),,Paladin,,,,
Cure Wounds,1,Evocation,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,,,See Details,PHB,230,HEAL: 1d8 + spellcasting ability modifier. No effect on undead or constructs.,Extra 1d8 HEAL.,Bard,Cleric,Druid,Paladin,Ranger,,,
Dancing Lights,0,Evocation,,1 action,120 ft.,,V,S,M,phosphorous or glowworm,,Concentration,1 minute,,,,PHB,230,"Create 4 glowing, hovering objects that shed light out 10 ft. Can move 60 ft. ",,Bard,,,,,Sorceror,,Wizard
Darkness,2,Evocation,,1 action,60 ft.,15 ft. radius sphere,V,,M,bat fur and pitch or coal,,Concentration,10 minutes,,,,PHB,230,Creates darkness normal light can't dispel. Dispels light spells <= 2nd level.,,,,Druid(Swamp),Paladin(Oathbreaker),,Sorceror,Warlock,Wizard
Darkvision,2,Transmutation,,1 action,Touch,1 willing creature,V,S,M,dried carrot or agate,,,8 hours,,,,PHB,230,Grants creature darkvision (60 ft.) but can't see in Darkness aura.,,,,Druid,,Ranger,Sorceror,,Wizard
Daylight,3,Evocation,,1 action,60 ft.,60 ft. radius sphere,V,S,,,,,1 hour,,,,PHB,230,Creates bright light. Dispels darkness spells <= 3rd level it overlaps with.,,,Cleric,Druid,Paladin,Ranger,Sorceror,,
Death Ward,4,Abjuration,,1 action,Touch,1 willing creature,V,S,,,,,8 hours,,,,PHB,230,1 use: Target drops to 1 HP instead of 0 HP or negates instant kill effect.,,,Cleric,,Paladin,,,,
Delayed Blast Fireball,7,Evocation,,1 action,150 ft.,20 ft. radius sphere,V,S,M,tiny ball of guano and sulfur,,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 12d6,PHB,230,Creates spot where fireball will erupt.  See Sourcebook.,Extra 1d6 base DAM.,,,,,,Sorceror,,Wizard
Demiplane,8,Conjuration,,1 action,60 ft.,,,S,,,,,1 hour,,,,PHB,231,Create door to 30 ft. cubic room in demiplane. Trapped if there when spell ends.,,,,,,,,Warlock,Wizard
Destructive Wave,5,Evocation,,1 action,Self,30 ft. radius,V,,,,,,Instantaneous,"CON (Half DAM, not prone)",See Details,DAM: 5d6+5d6,PHB,231,"Targets in circle take thunder DAM, then radiant or necrotic DAM; go prone.",,,Cleric(Tempest),,Paladin,,,,
